cluster,label,size,top_keywords,top_titles
12,Deep learning / data mining / data privacy / deep learning / Support Vector Machines,784608,"Deep learning, data mining, data privacy, deep learning, Support Vector Machines","Deep Learning: Applications, Architectures, Models, Tools, and Frameworks: A Comprehensive Survey || PyTorch Metric Learning. || Learning New Tricks from Old Dogs: Multi-Source Transfer Learning from Pre-Trained Networks. || Learning to Optimize: A Tutorial for Continuous and Mixed-Integer Optimization || SNR: Sub-Network Routing for Flexible Parameter Sharing in Multi-Task Learning."
8,Convolutional neural network / Deep learning / Transfer learning / Medical imaging / Healthcare,20924,"Convolutional neural network, Deep learning, Transfer learning, Medical imaging, Healthcare","Deep Learning: Applications, Architectures, Models, Tools, and Frameworks: A Comprehensive Survey || LitefusionNet: Boosting the Performance for Medical Image Classification with an Intelligent and Lightweight Feature Fusion Network || Data Pyramid Structure for Optimizing EUS-based GISTs Diagnosis in Multi-Center Analysis with Missing Label || Supervised Fine-Tuned Approach for Automated Detection of Diabetic Retinopathy || Deep Learning and Its Applications in Biomedicine"
9,Topic Modeling / Language Modeling / Visual Question Answering / Image Captioning / Language Understanding,7155,"Topic Modeling, Language Modeling, Visual Question Answering, Image Captioning, Language Understanding","UnIVAL: Unified Model for Image, Video, Audio and Language Tasks || Augmenting Interpretable Models with Large Language Models During Training || Jointly Learning to Label Sentences and Tokens. || SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || Improving and Simplifying Pattern Exploiting Training"
10,Model Interpretability / Source Code Analysis / Software Defect Prediction / stars! / reach,6356,"Model Interpretability, Source Code Analysis, Software Defect Prediction, stars!, reach","Generalization or Memorization: Data Contamination and Trustworthy Evaluation for Large Language Models || SantaCoder: don't reach for the stars! || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Explanation-Based Human Debugging of NLP Models: A Survey || Common Challenges of Deep Reinforcement Learning Applications Development: an Empirical Study"
11,Language Modeling / Topic Modeling / Syntax-based Translation Models / Neural Machine Translation / Machine Translation,3999,"Language Modeling, Topic Modeling, Syntax-based Translation Models, Neural Machine Translation, Machine Translation","Pretrained Generative Language Models As General Learning Frameworks for Sequence-Based Tasks || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Pre-trained Language Model Representations for Language Generation. || PromDA: Prompt-based Data Augmentation for Low-Resource NLU Tasks || LaMDA: Language Models for Dialog Applications"
7,energy efficiency / in-memory computing / Structured Gradient Sparsification / Training-In-Memory Engines / RRAM-based systems,2226,"energy efficiency, in-memory computing, Structured Gradient Sparsification, Training-In-Memory Engines, RRAM-based systems",Long Live TIME: Improving Lifetime for Training-in-memory Engines by Structured Gradient Sparsification. || 14.6 A 1.42TOPS/W Deep Convolutional Neural Network Recognition Processor for Intelligent IoE Systems. || Deep In-Memory Architectures in SRAM: an Analog Approach to Approximate Computing || A 2.75-to-75.9tops/w Computing-in-Memory NN Processor Supporting Set-Associate Block-Wise Zero Skipping and Ping-Pong CIM with Simultaneous Computation and Weight Updating || A 16.38TOPS and 4.55POPS/W SRAM Computing-in-Memory Macro for Signed Operands Computation and Batch Normalization Implementation
2,Language Modeling / Topic Modeling / Machine Translation / Multilingual Neural Machine Translation / Syntax-based Translation Models,521,"Language Modeling, Topic Modeling, Machine Translation, Multilingual Neural Machine Translation, Syntax-based Translation Models","SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes. || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model || SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems."
5,Deep learning / Computer vision / Feature extraction / Task analysis / Transformers,455,"Deep learning, Computer vision, Feature extraction, Task analysis, Transformers",Multimodal Informative ViT: Information Aggregation and Distribution for Hyperspectral and LiDAR Classification || Multimodal Classification of Parkinson’s Disease in Home Environments with Resiliency to Missing Modalities || Aerial Animal Biometrics: Individual Friesian Cattle Recovery and Visual Identification Via an Autonomous UAV with Onboard Deep Inference || Invariant Attribute-Driven Binary Bi-Branch Classification of Hyperspectral and LiDAR Images || Object Detection Using Sim2Real Domain Randomization for Robotic Applications
1,Transfer Learning / Meta-Learning / Visual Question Answering / Few-Shot Learning / Feature Matching,287,"Transfer Learning, Meta-Learning, Visual Question Answering, Few-Shot Learning, Feature Matching",Lingvo: a Modular and Scalable Framework for Sequence-to-Sequence Modeling || Flamingo: a Visual Language Model for Few-Shot Learning || DeepSeek-V3 Technical Report || Large-Scale Retrieval for Reinforcement Learning. || DeepSeek-R1: Incentivizing Reasoning Capability in LLMs Via Reinforcement Learning
4,Representation Learning / Meta-Learning / Semi-Supervised Learning / Transfer Learning / Image Segmentation,284,"Representation Learning, Meta-Learning, Semi-Supervised Learning, Transfer Learning, Image Segmentation",Pixel Recurrent Neural Networks. || Few-shot Autoregressive Density Estimation: Towards Learning to Learn Distributions. || Scaling Vision Transformers to 22 Billion Parameters. || Representation Learning with Contrastive Predictive Coding. || Improved Conditional VRNNs for Video Prediction
