cluster,label,size,top_keywords,top_titles
37,Cloud computing / Artificial intelligence / edge computing / Edge computing / Federated learning,36066,"Cloud computing, Artificial intelligence, edge computing, Edge computing, Federated learning",Leakage-Resilient Authenticated Key Exchange for Edge Artificial Intelligence || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Privacy-preserving and Verifiable Classifier Training in Edge-Assisted Mobile Communication Systems || IoV-BCFL: an Intrusion Detection Method for IoV Based on Blockchain and Federated Learning || Verifiable Data Streaming with Efficient Update for Intelligent Automation Systems
22,Machine learning / Software engineering / prioritization / runtime verification / testing,22605,"Machine learning, Software engineering, prioritization, runtime verification, testing","Machine Learning for Software Analysis: Models, Methods, and Applications. || Prioritizing Runtime Verification Violations. || On Hardware Security Bug Code Fixes by Prompting Large Language Models || Large Language Models for Software Engineering: Survey and Open Problems || Large Language Models to Generate Meaningful Feature Model Instances."
39,Resource management / NOMA / 6G / rate-splitting multiple access (RSMA) / Wireless networks,56929,"Resource management, NOMA, 6G, rate-splitting multiple access (RSMA), Wireless networks","Multiple Access Techniques for Intelligent and Multi-Functional 6G: Tutorial, Survey, and Outlook || Situation-Aware Resource Allocation for Multi-Dimensional Intelligent Multiple Access: A Proactive Deep Learning Framework || Joint Beamforming and User Association with Reduced CSI Signaling in Mobile Environments: A Deep Q-learning Approach || Context-Aware Mobile Edge Resource Allocation in OFDMA Downlink System || Edge Intelligence for Energy-Efficient Computation Offloading and Resource Allocation in 5G Beyond."
28,Random access memory / Standards / Arrays / Neural networks / Acceleration,12816,"Random access memory, Standards, Arrays, Neural networks, Acceleration","CASH-RAM: Enabling In-Memory Computations for Edge Inference Using Charge Accumulation and Sharing in Standard 8T-SRAM Arrays || Scalable Compute Continuum || Hvac: Removing I/O Bottleneck for Large-Scale Deep Learning Applications || Adaptive and Energy-Efficient Architectures for Machine Learning: Challenges, Opportunities, and Research Roadmap. || Energy Efficient Computing Systems: Architectures, Abstractions and Modeling to Techniques and Standards"
42,convolutional neural network (CNN) / Feature extraction / Deep learning / Training / Hyperspectral imaging,22269,"convolutional neural network (CNN), Feature extraction, Deep learning, Training, Hyperspectral imaging",Remote Sensing Scene Image Classification Based on Dense Fusion of Multi-level Features || A Unified Multiscale Learning Framework for Hyperspectral Image Classification || Greedy Annotation of Remote Sensing Image Scenes Based on Automatic Aggregation via Hierarchical Similarity Diffusion. || RSMamba: Remote Sensing Image Classification with State Space Model || On the Selective and Invariant Representation of DCNN for High-Resolution Remote Sensing Image Recognition.
61,Unsupervised feature selection / unsupervised feature selection / Multi-view learning / Latent representation learning / Manifold regularization,13455,"Unsupervised feature selection, unsupervised feature selection, Multi-view learning, Latent representation learning, Manifold regularization",Multi-view Learning Overview: Recent Progress and New Challenges || Unsupervised Feature Selection Via Latent Representation Learning and Manifold Regularization || Unsupervised Dual Learning for Feature and Instance Selection. || Multi-View Unsupervised Feature Selection with Adaptive Similarity and View Weight || Unsupervised Multi-View Non-Negative for Law Data Feature Learning with Dual Graph-Regularization in Smart Internet of Things
47,motion planning / Task analysis / Interaction force / physical human-robot interaction (pHRI) / DMPs,6075,"motion planning, Task analysis, Interaction force, physical human-robot interaction (pHRI), DMPs",Dynamic Motion Primitives-Based Trajectory Learning for Physical Human–Robot Interaction Force Control || Optimizing the Execution of Dynamic Robot Movements with Learning Control || Data-Efficient Learning Control of Continuum Robots in Constrained Environments || Horizon: A Trajectory Optimization Framework for Robotic Systems || Predefined-Time Convergent Kinematic Control of Robotic Manipulators with Unknown Models Based on Hybrid Neural Dynamics and Human Behaviors
57,Multi-agent systems / Protocols / Topology / Convergence / Distributed estimation,6139,"Multi-agent systems, Protocols, Topology, Convergence, Distributed estimation",On the Convergence Conditions of Distributed Dynamic State Estimation Using Sensor Networks: A Unified Framework. || Event-Triggered Discrete-Time Distributed Consensus Optimization over Time-Varying Graphs || Finite-Horizon ℋ Consensus Control of Time-Varying Multiagent Systems With Stochastic Communication Protocol. || Distributed Averaging and Balancing in Network Systems || Distributed Asynchronous Constrained Output Formation Optimal Tracking for Multiagent Systems with Intermittent Communications
24,Graph Algorithms / Parameterized complexity / Greedy algorithm / Packing / Matroid intersection,4601,"Graph Algorithms, Parameterized complexity, Greedy algorithm, Packing, Matroid intersection",The B-Branching Problem in Digraphs. || Conditional Hardness Results for Massively Parallel Computation from Distributed Lower Bounds || Efficient Approximation for Subgraph-Hitting Problems in Sparse Graphs and Geometric Intersection Graphs || Finding Highly Connected Subgraphs || Optimal Algorithms for Hitting (topological) Minors on Graphs of Bounded Treewidth.
58,Multi-agent systems / Adaptive control / Nonlinear dynamical systems / Actuators / Fault tolerant systems,24247,"Multi-agent systems, Adaptive control, Nonlinear dynamical systems, Actuators, Fault tolerant systems",Cyclic-Small-Gain Approach to Adaptive Control for Multiagent Systems with Unknown Interconnected Dynamics || Distributed Event-Triggered Output-Feedback Time-Varying Formation Fault-Tolerant Control for Nonlinear Multi-Agent Systems || Decentralized Adaptive Tracking Control for High-Order Interconnected Stochastic Nonlinear Time-Varying Delay Systems with Stochastic Input-to-state Stable Inverse Dynamics by Neural Networks || Decentralized Event-Triggered Online Adaptive Control of Unknown Large-Scale Systems over Wireless Communication Networks. || Event-Based Finite-Time Control for Nonlinear Multiagent Systems with Asymptotic Tracking
8,Drugs / Proteins / Diffusion tensor imaging / Diseases / Deep learning,3598,"Drugs, Proteins, Diffusion tensor imaging, Diseases, Deep learning",IIFDTI: Predicting Drug-Target Interactions Through Interactive and Independent Features Based on Attention Mechanism. || Learning Multi-Scale Heterogeneous Representations and Global Topology for Drug-Target Interaction Prediction || EMPPNet: Enhancing Molecular Property Prediction Via Cross-modal Information Flow and Hierarchical Attention. || Multi-view Heterogeneous Molecular Network Representation Learning for Protein–protein Interaction Prediction || ACDMBI: A Deep Learning Model Based on Community Division and Multi-Source Biological Information Fusion Predicts Essential Proteins
25,Representation Learning / Topic Modeling / Meta-Learning / Language Modeling / Deep Learning,45959,"Representation Learning, Topic Modeling, Meta-Learning, Language Modeling, Deep Learning",Scaling Up Visual and Vision-Language Representation Learning with Noisy Text Supervision. || MovieChats: Chat Like Humans in a Closed Domain. || KGA: A General Machine Unlearning Framework Based on Knowledge Gap Alignment. || Automating Model Search for Large Scale Machine Learning. || GLUECons: A Generic Benchmark for Learning under Constraints
51,Unsupervised Learning / Semi-Supervised Learning / Representation Learning / Deep Learning / Representation learning,57704,"Unsupervised Learning, Semi-Supervised Learning, Representation Learning, Deep Learning, Representation learning",X-Learner: Learning Cross Sources and Tasks for Universal Visual Representation. || Deep Learning for Visual Understanding: A Review. || DINOv2: Learning Robust Visual Features Without Supervision || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || DSOD: Learning Deeply Supervised Object Detectors from Scratch
27,Reinforcement Learning / Bandit Optimization / Gathering Algorithms / Generalization / Contextual Bandits,6386,"Reinforcement Learning, Bandit Optimization, Gathering Algorithms, Generalization, Contextual Bandits",Global Convergence Guarantees for Federated Policy Gradient Methods with Adversaries || Cheap Bandits. || An Adversarial Objective for Scalable Exploration. || Exploiting Relevance for Online Decision-Making in High-Dimensions || On Reward-Free RL with Kernel and Neural Function Approximations: Single-Agent MDP and Markov Game
21,Optimization / Voltage control / Training / Generators / Power system management,9652,"Optimization, Voltage control, Training, Generators, Power system management",Training Deep Neural Network for Optimal Power Allocation in Islanded Microgrid Systems: A Distributed Learning-Based Approach || Coordinated Operation of Multiple Microgrids with Heat-Electricity Energy Based on Graph Surrogate Model-Enabled Robust Multiagent Deep Reinforcement Learning || Multi-Agent Safe Policy Learning for Power Management of Networked Microgrids || Consensus Multi-Agent Reinforcement Learning for Volt-VAR Control in Power Distribution Networks || A Learning-Based Power Management Method for Networked Microgrids under Incomplete Information.
23,Codes / minimal code / vectorial Boolean function / Linear codes / secret sharing,2544,"Codes, minimal code, vectorial Boolean function, Linear codes, secret sharing",Several Families of Binary Minimal Linear Codes from Two-to-One Functions || Hamming Weight Enumerators of Multi-Twisted Codes with at Most Two Non-Zero Constituents. || Minimal Binary Linear Codes from Vectorial Boolean Functions || Minimal Binary Linear Codes || An Open Problem and a Conjecture on Binary Linear Complementary Pairs of Codes
35,Convex Optimization / Stochastic Gradient Descent / Large-Scale Optimization / Approximation Algorithms / Regularization Methods,3501,"Convex Optimization, Stochastic Gradient Descent, Large-Scale Optimization, Approximation Algorithms, Regularization Methods",Small Random Initialization is Akin to Spectral Learning: Optimization and Generalization Guarantees for Overparameterized Low-Rank Matrix Reconstruction. || Learning Rates for Stochastic Gradient Descent With Nonconvex Objectives || Stochastic Gradient Descent-Ascent: Unified Theory and New Efficient Methods || Optimization for deep learning: theory and algorithms || MARINA: Faster Non-Convex Distributed Learning with Compression
48,Robots / Navigation / Robot sensing systems / Collision avoidance / Decision making,5365,"Robots, Navigation, Robot sensing systems, Collision avoidance, Decision making",HDPlanner: Advancing Autonomous Deployments in Unknown Environments Through Hierarchical Decision Networks || APPL: Adaptive Planner Parameter Learning || APPLI: Adaptive Planner Parameter Learning from Interventions || Learning Enabled Fast Planning and Control in Dynamic Environments with Intermittent Information. || Efficient Neural Neighborhood Search for Pickup and Delivery Problems
60,Multi-view learning / Data mining / graph convolutional network / semi-supervised classification / differentiable node selection,9471,"Multi-view learning, Data mining, graph convolutional network, semi-supervised classification, differentiable node selection",Grain: Improving Data Efficiency of Graph Neural Networks Via Diversified Influence Maximization || Multi-view Graph Convolutional Networks with Differentiable Node Selection. || Multitask Representation Learning with Multiview Graph Convolutional Networks || Efficient Multi-View Graph Convolutional Networks Via Local Aggregation and Global Propagation || Network Representation Learning: from Traditional Feature Learning to Deep Learning.
30,Image encryption / Reversible data hiding / Cryptography / Optical imaging / Encryption,5208,"Image encryption, Reversible data hiding, Cryptography, Optical imaging, Encryption",Reversible Data Hiding in Encrypted Images Using Reservoir Computing Based Data Fusion Strategy || An Enhanced Steganography Network for Concealing and Protecting Secret Image Data || Protection of Image ROI Using Chaos-Based Encryption and DCNN-based Object Detection || A Fusion of Machine Learning and Cryptography for Fast Data Encryption Through the Encoding of High and Moderate Plaintext Information Blocks || SVM Based Robust Watermarking for Enhanced Medical Image Security.
38,Computational modeling / Training / Data models / federated learning / Servers,19211,"Computational modeling, Training, Data models, federated learning, Servers",Risk Minimization Against Transmission Failures of Federated Learning in Mobile Edge Networks. || Federated Learning over Wireless Networks: Convergence Analysis and Resource Allocation || Towards Superior Pruning Performance in Federated Learning with Discriminative Data || AsyFed: Accelerated Federated Learning with Asynchronous Communication Mechanism || Slashing Communication Traffic in Federated Learning by Transmitting Clustered Model Updates
50,Feature extraction / Task analysis / Visualization / Computational modeling / deep learning,13676,"Feature extraction, Task analysis, Visualization, Computational modeling, deep learning",TOPIQ: A Top-down Approach from Semantics to Distortions for Image Quality Assessment. || Flow Learning Based Dual Networks for Low-Light Image Enhancement || Learning Regularized Multi-Scale Feature Flow for High Dynamic Range Imaging || DMvLNet: Deep Multiview Learning Network for Blindly Accessing Image Quality || InfraFFN: A Feature Fusion Network Leveraging Dual-Path Convolution and Self-Attention for Infrared Image Super-Resolution
20,Electroencephalography / Brain network classification / Dynamic brain network / Patient-specific / Cross-patient,8858,"Electroencephalography, Brain network classification, Dynamic brain network, Patient-specific, Cross-patient",Multi-view Brain Network Classification Based on Adaptive Graph Isomorphic Information Bottleneck Mamba || Improving Brain E-Health Services Via High-Performance EEG Classification with Grouping Bayesian Optimization || Brainformer: Mimic Human Visual Brain Functions to Machine Vision Models Via Fmri || Deep Learning in Neuroimaging: Promises and Challenges || Deep Fusion Feature Learning Network for MI-EEG Classification.
15,deep learning / Biomedical imaging / Computed tomography / Three-dimensional displays / Medical image registration,6870,"deep learning, Biomedical imaging, Computed tomography, Three-dimensional displays, Medical image registration",SurgT Challenge: Benchmark of Soft-Tissue Trackers for Robotic Surgery || Multitask Learning in Minimally Invasive Surgical Vision: A Review || RSDNet: Learning to Predict Remaining Surgery Duration from Laparoscopic Videos Without Manual Annotations || Computer-Assisted Decision Support System in Pulmonary Cancer Detection and Stage Classification on CT Images. || A Hybrid Deep Learning Model for Human Activity Recognition Using Multimodal Body Sensing Data
53,Unsupervised Learning / 3D Human Pose / Visual Servoing / Shape Representation / Pose Estimation,17851,"Unsupervised Learning, 3D Human Pose, Visual Servoing, Shape Representation, Pose Estimation",Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations. || Ivs-Net: Learning Human View Synthesis from Internet Videos || MVImgNet: A Large-scale Dataset of Multi-view Images. || Convolutional Occupancy Networks || Geometry Understanding from Autonomous Driving Scenarios Based on Feature Refinement
17,Knowledge graph / Knowledge graph embedding / Knowledge graph completion / Graph convolutional network / Knowledge base completion,3924,"Knowledge graph, Knowledge graph embedding, Knowledge graph completion, Graph convolutional network, Knowledge base completion",A Structure Distinguishable Graph Attention Network for Knowledge Base Completion || Learning Knowledge Graph Embedding with a Dual-Attention Embedding Network || Enabling Inductive Knowledge Graph Completion Via Structure-Aware Attention Network || Knowledge Graph Fine-Grained Network with Attribute Transfer for Recommendation || Embedding Text-Rich Graph Neural Networks with Sequence and Topical Semantic Structures.
32,Matrix free method / finite element method / discontinuous Galerkin method / sum factorization / vectorization,5945,"Matrix free method, finite element method, discontinuous Galerkin method, sum factorization, vectorization","Fast Matrix-Free Evaluation of Discontinuous Galerkin Finite Element Operators || Hybridization of Mixed High-Order Methods on General Meshes and Application to the Stokes Equations || ENCLAVE TASKING FOR DG METHODS ON DYNAMICALLY ADAPTIVE MESHES || A Next-Generation Discontinuous Galerkin Fluid Dynamics Solver with Application to High-Resolution Lung Airflow Simulations || Hyper.deal: an Efficient, Matrix-Free Finite-Element Library for High-Dimensional Partial Differential Equations"
5,deep learning / molecular representation learning / drug discovery / Molecular Docking / geometric neural network,4835,"deep learning, molecular representation learning, drug discovery, Molecular Docking, geometric neural network",Improving Molecular Representation Learning with Metric Learning-Enhanced Optimal Transport. || Learning to SMILES: BAN-based Strategies to Improve Latent Representation Learning from Molecules || HeMeNet: Heterogeneous Multichannel Equivariant Network for Protein Multi-task Learning. || MUFFIN: Multi-Scale Feature Fusion for Drug-Drug Interaction Prediction. || Learning Invariant Molecular Representation in Latent Discrete Space
59,expensive optimization / evolutionary computation / Evolutionary algorithms / Expensive optimization / optimization,8977,"expensive optimization, evolutionary computation, Evolutionary algorithms, Expensive optimization, optimization",Multi-Space Evolutionary Search for Large-Scale Optimization || A Surrogate-Assisted Many-Objective Evolutionary Algorithm Using Multi- Classification and Coevolution for Expensive Optimization Problems || Generalized Multitasking for Evolutionary Optimization of Expensive Problems || What Makes Evolutionary Multi-Task Optimization Better: A Comprehensive Survey || Evolutionary Computation for Large-scale Multi-objective Optimization: A Decade of Progresses
26,Task analysis / Predictive models / Transformers / Data models / Speech recognition,5741,"Task analysis, Predictive models, Transformers, Data models, Speech recognition","WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing || Deep Representation Learning in Speech Processing: Challenges, Recent Advances, and Future Trends. || An Overview of High-Resource Automatic Speech Recognition Methods and Their Empirical Evaluation in Low-Resource Environments || VATLM: Visual-Audio-Text Pre-Training with Unified Masked Prediction for Speech Representation Learning. || End-to-End Speech Intelligibility Prediction Using Time-Domain Fully Convolutional Neural Networks."
