cluster,label,size,top_keywords,top_titles
59,Deep learning / Computer vision / Developments / Applications / Trends,158759,"Deep learning, Computer vision, Developments, Applications, Trends",Deep Learning for Visual Understanding: A Review. || Watching the World Go By: Representation Learning from Unlabeled Videos || Adult Image and Video Recognition by a Deep Multicontext Network and Fine-to-Coarse Strategy || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Master's Thesis : Deep Learning for Visual Recognition
33,Visual Servoing / 3D Human Pose / Unsupervised Learning / Pose Estimation / 3D from single images,39094,"Visual Servoing, 3D Human Pose, Unsupervised Learning, Pose Estimation, 3D from single images",Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations. || Ivs-Net: Learning Human View Synthesis from Internet Videos || Farm3D: Learning Articulated 3D Animals by Distilling 2D Diffusion || AutoRF: Learning 3D Object Radiance Fields from Single View Observations || Perceiving 3D Human-Object Spatial Arrangements from a Single Image in the Wild
73,Security / machine learning / Internet of Things / Edge computing / Machine learning,39016,"Security, machine learning, Internet of Things, Edge computing, Machine learning","A Hybrid Framework Leveraging Whale Optimization and Deep Learning with Trust-Index for Attack Identification in IoT Networks || A Novel Insider Attack and Machine Learning Based Detection for the Internet of Things. || Deep Learning: the Frontier for Distributed Attack Detection in Fog-to-Things Computing. || Security and Privacy Issues in Smart Cities/industries: Technologies, Applications, and Challenges || Securing Internet of Things Using Machine and Deep Learning Methods: a Survey"
29,Topic Modeling / Metamodeling / Model Transformation / Reconfigurable Computing / Dynamic Reconfiguration,37146,"Topic Modeling, Metamodeling, Model Transformation, Reconfigurable Computing, Dynamic Reconfiguration",Model Reprogramming: Resource-Efficient Cross-Domain Machine Learning || Lingvo: a Modular and Scalable Framework for Sequence-to-Sequence Modeling || A Statistical Perspective on Retrieval-Based Models. || CATS: Contextually-Aware Thresholding for Sparsity in Large Language Models. || Efficient AI in Practice: Training and Deployment of Efficient LLMs for Industry Applications
87,Resource management / mobile edge computing / Edge computing / Cellular V2X communication / physical-layer security,36542,"Resource management, mobile edge computing, Edge computing, Cellular V2X communication, physical-layer security",Optimal Access Scheme for Security Provisioning of C-V2X Computation Offloading Network with Imperfect CSI || Edge-Native Intelligence for 6G Communications Driven by Federated Learning: A Survey of Trends and Challenges || NOMA-Based Pervasive Edge Computing: Secure Power Allocation for IoV. || Secure Computation Offloading for Device-Collaborative MEC Networks: A DRL-Based Approach || Double-Edge Computation Offloading for Secure Integrated Space–Air–Aqua Networks
27,Technology Use / Design Research / Usability / User-Centered Design / conversational agent,32594,"Technology Use, Design Research, Usability, User-Centered Design, conversational agent",Reflections on 5 Years of Personal Informatics: Rising Concerns and Emerging Directions. || Apple's Knowledge Navigator: Why Doesn't That Conversational Agent Exist Yet? || Mobilizing Crowdwork:A Systematic Assessment of the Mobile Usability of HITs || Rule-based Tools for the Configuration of Ambient Intelligence Systems: a Comparative User Study || Human-AI Collaboration in Thematic Analysis Using ChatGPT: A User Study and Design Recommendations
18,Task analysis / Computational modeling / Servers / Security / Resource management,28317,"Task analysis, Computational modeling, Servers, Security, Resource management","Secure Data Transportation with Software-Defined Networking and K-N Secret Sharing for High-Confidence IoT Services || HSADR: A New Highly Secure Aggregation and Dropout-Resilient Federated Learning Scheme for Radio Access Networks with Edge Computing Systems || Authenticated Key Agreement Scheme for Fog-Driven IoT Healthcare System. || Joint Optimization of Energy Conservation and Privacy Preservation for Intelligent Task Offloading in MEC-Enabled Smart Cities || FVP-EOC: Fair, Verifiable, and Privacy-Preserving Edge Outsourcing Computing in 5G-Enabled IIoT"
105,"Convex Optimization / Large-Scale Optimization / Approximation Algorithms / Optimization,Stochastic processes,Distributed algorithms,Convex functions,Signal processing algorithms,Signal processing,Communication networks / Bandit Optimization",27867,"Convex Optimization, Large-Scale Optimization, Approximation Algorithms, Optimization,Stochastic processes,Distributed algorithms,Convex functions,Signal processing algorithms,Signal processing,Communication networks, Bandit Optimization",Distributed Stochastic Optimization under Imperfect Information || Projection-Free Online Optimization with Stochastic Gradient: from Convexity to Submodularity || Regularized Optimal Transport Layers for Generalized Global Pooling Operations. || Decomposable Non-Smooth Convex Optimization with Nearly-Linear Gradient Oracle Complexity || Adaptive Sampling Probabilities for Non-Smooth Optimization.
102,Feature selection / Classification / IOAs / MAGDM / Fuzzy theory,25117,"Feature selection, Classification, IOAs, MAGDM, Fuzzy theory",Overview of the Application of Intelligent Optimization Algorithms in Multi-Attribute Group Decision Making || A Discrete Intelligent Classification Methodology || MOFS-REPLS: A Large-Scale Multi-Objective Feature Selection Algorithm Based on Real-Valued Encoding and Preference Leadership Strategy || Weighted Mean of Vectors Algorithm with Neighborhood Information Interaction and Vertical and Horizontal Crossover Mechanism for Feature Selection || Adaptive Threshold Optimisation for Online Feature Selection Using Dynamic Particle Swarm Optimisation in Determining Feature Relevancy and Redundancy
7,Topic Modeling / Language Modeling / Language Understanding / Sequence-to-Sequence Learning / Machine Translation,23772,"Topic Modeling, Language Modeling, Language Understanding, Sequence-to-Sequence Learning, Machine Translation","Jointly Learning to Label Sentences and Tokens. || Augmenting Interpretable Models with Large Language Models During Training || Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || LaMDA: Language Models for Dialog Applications || SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling"
66,resources constrained / deep reinforcement learning / distributed execution / Internet of Things / Optimization,21204,"resources constrained, deep reinforcement learning, distributed execution, Internet of Things, Optimization",Computation Offloading in Resource-Constrained Multi-Access Edge Computing || Energy-Aware Cooperative Spectrum Sensing under Ignorance on Internet of Mobile Things || Accelerating Distributed Optimization Via Over-the-Air Computing || Probabilistic Data Prefetching for Data Transportation in Smart Cities || Energy-Efficient Federated Learning over Cell-Free IoT Networks: Modeling and Optimization
