cluster,label,size,top_keywords,top_titles
81,Deep learning / Feature extraction / Visualization / Computer vision / Developments,149225,"Deep learning, Feature extraction, Visualization, Computer vision, Developments",Deep Learning for Visual Understanding: A Review. || LSV-ANet: Deep Learning on Local Structure Visualization for Feature Matching || Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || MFIL-FCOS: A Multi-Scale Fusion and Interactive Learning Method for 2D Object Detection and Remote Sensing Image Detection || DIMA: Digging into Multigranular Archetype for Fine-Grained Object Detection
33,Topic Modeling / Language Modeling / Language Understanding / Sequence-to-Sequence Learning / Statistical Language Modeling,84578,"Topic Modeling, Language Modeling, Language Understanding, Sequence-to-Sequence Learning, Statistical Language Modeling",Augmenting Interpretable Models with Large Language Models During Training || Jointly Learning to Label Sentences and Tokens. || SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || Language Models As Black-Box Optimizers for Vision-Language Models. || GLUECons: A Generic Benchmark for Learning under Constraints
63,Optimization / Linear programming / Consensus / distributed optimization / energy Internet,77155,"Optimization, Linear programming, Consensus, distributed optimization, energy Internet",Distributed Neurodynamic Optimization for Energy Internet Management || Special Issue On: Optimization Methods for Decision Making: Advances and Applications. || The Intelligent Critic Framework for Advanced Optimal Control || Large-Scale Expensive Optimization with a Switching Strategy || Stochastic Configuration Networks with Improved Supervisory Mechanism
5,Visual Question Answering / Image Captioning / Representation Learning / Semi-Supervised Learning / Meta-Learning,46284,"Visual Question Answering, Image Captioning, Representation Learning, Semi-Supervised Learning, Meta-Learning",Vision-Language Models for Vision Tasks: A Survey || Scaling Up Visual and Vision-Language Representation Learning with Noisy Text Supervision. || Flamingo: a Visual Language Model for Few-Shot Learning || Prismer: A Vision-Language Model with an Ensemble of Experts || Sequential Modeling Enables Scalable Learning for Large Vision Models
117,Task analysis / Resource management / Servers / Internet of Things / Delays,34340,"Task analysis, Resource management, Servers, Internet of Things, Delays",Distributed Computing and Networking Coordination for Task Offloading under Uncertainties || MIDP: an MDP-based Intelligent Big Data Processing Scheme for Vehicular Edge Computing || Communication-Efficient Federated Learning for Wireless Edge Intelligence in IoT || Joint Optimization of Energy Conservation and Privacy Preservation for Intelligent Task Offloading in MEC-Enabled Smart Cities || FLight: A Lightweight Federated Learning Framework in Edge and Fog Computing
32,Medical image segmentation / Image segmentation / Biomedical imaging / Feature extraction / Training,31100,"Medical image segmentation, Image segmentation, Biomedical imaging, Feature extraction, Training",MH UNet: A Multi-Scale Hierarchical Based Architecture for Medical Image Segmentation || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || GC-Net: Global Context Network for Medical Image Segmentation || Domain Generalization for Medical Image Analysis: A Review || Guest Editorial Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique
76,Visual Servoing / 3D Human Pose / Unsupervised Learning / Pose Estimation / 3D from single images,29468,"Visual Servoing, 3D Human Pose, Unsupervised Learning, Pose Estimation, 3D from single images",Ivs-Net: Learning Human View Synthesis from Internet Videos || Chained Representation Cycling: Learning to Estimate 3D Human Pose and Shape by Cycling Between Representations. || AutoRF: Learning 3D Object Radiance Fields from Single View Observations || Farm3D: Learning Articulated 3D Animals by Distilling 2D Diffusion || EPIC Fields: Marrying 3D Geometry and Video Understanding
112,NOMA / Uplink / Multiaccess communication / Machine-to-machine communications / Internet of Things,29055,"NOMA, Uplink, Multiaccess communication, Machine-to-machine communications, Internet of Things","Robust Secure Beamforming for Wireless Powered Cognitive Satellite-Terrestrial Networks. || Coded Tandem Spreading Multiple Access for Massive Machine-Type Communications || Interference Mitigation Via Rate-Splitting and Common Message Decoding in Cloud Radio Access Networks. || Enabling Fully-Decoupled Radio Access with Elastic Resource Allocation || Multiple Access Techniques for Intelligent and Multi-Functional 6G: Tutorial, Survey, and Outlook"
51,Channel estimation / Integrated sensing and communication (ISAC) / target detection / transmit beamforming / pilot design,19102,"Channel estimation, Integrated sensing and communication (ISAC), target detection, transmit beamforming, pilot design",Joint UL/DL Dictionary Learning and Channel Estimation Via Two-Timescale Optimization in Massive MIMO Systems || Spatial Pilot Reassignment Algorithm for Channel Estimation Stage of Cell-Free Multi-Ars Communication Systems || Integrated Sensing and Communication: Joint Pilot and Transmission Design. || Asynchronous Distributed Beamforming Optimization Framework for RIS-Assisted Wireless Communications. || Optimal Collaborative Mapping of Terrestrial Transmitters: Receiver Placement and Performance Characterization.
114,federated learning / Federated Learning / Edge computing / edge devices / edge intelligence,17829,"federated learning, Federated Learning, Edge computing, edge devices, edge intelligence",Collate: Collaborative Neural Network Learning for Latency-Critical Edge Systems. || Personalized Federated Learning with Communication Compression. || One Bit Aggregation for Federated Edge Learning with Reconfigurable Intelligent Surface: Analysis and Optimization || BOSE: Block-Wise Federated Learning in Heterogeneous Edge Computing || Efficient Asynchronous Federated Learning with Sparsification and Quantization
106,Security / Computational modeling / outsourced storage / verifiable data streaming / Privacy,14732,"Security, Computational modeling, outsourced storage, verifiable data streaming, Privacy",Optimal Verifiable Data Streaming under Concurrent Queries || Scalable Role-Based Data Disclosure Control for the Internet of Things. || An SGX-Based Key Management Framework for Data Centric Networking. || DAML: Practical Secure Protocol for Data Aggregation Based on Machine Learning || Verifiable Data Streaming with Efficient Update for Intelligent Automation Systems
