cluster,label,size,top_keywords,top_titles
18,deep learning / data mining / data privacy / AI for mathematics (AI4Math) / learning to optimize,528825,"deep learning, data mining, data privacy, AI for mathematics (AI4Math), learning to optimize","Deep Learning: Applications, Architectures, Models, Tools, and Frameworks: A Comprehensive Survey || Learning New Tricks from Old Dogs: Multi-Source Transfer Learning from Pre-Trained Networks. || Learning to Optimize: A Tutorial for Continuous and Mixed-Integer Optimization || PyTorch Metric Learning. || UFO: Unified Feature Optimization"
11,Medical image segmentation / Vision Transformer / CNN / medical image segmentation / collaborative cross-fusion,19031,"Medical image segmentation, Vision Transformer, CNN, medical image segmentation, collaborative cross-fusion",CCFNet: Collaborative Cross-Fusion Network for Medical Image Segmentation || SBC-UNet: A Network Based on Improved Hourglass Attention Mechanism and U-Net for Medical Image Segmentation. || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || Multi-compound Transformer for Accurate Biomedical Image Segmentation || Scale-wise Discriminative Region Learning for Medical Image Segmentation
19,Task analysis / Object detection / Feature extraction / feature fusion / 3D object detection,18506,"Task analysis, Object detection, Feature extraction, feature fusion, 3D object detection",Complexer-YOLO: Real-Time 3D Object Detection and Tracking on Semantic Point Clouds. || Real-world Object Recognition with Off-the-shelf Deep Conv Nets: How Many Objects Can Icub Learn? || Transformer-Based Model for Monocular Visual Odometry: A Video Understanding Approach || Geometry Understanding from Autonomous Driving Scenarios Based on Feature Refinement || MVImgNet: A Large-scale Dataset of Multi-view Images.
1,fine-grained complexity / similarity search / strong exponential-time hypothesis / closest pair / longest common subsequence,10982,"fine-grained complexity, similarity search, strong exponential-time hypothesis, closest pair, longest common subsequence",Distributed PCP Theorems for Hardness of Approximation in P. || The B-Branching Problem in Digraphs. || Bounds on the Length of Functional PIR and Batch Codes. || Solving D-Sat Via Backdoors to Small Treewidth || Nearest Neighbor Complexity and Boolean Circuits
8,Machine learning / Deep learning / deep learning / machine learning / Explainable Artificial Intelligence,4830,"Machine learning, Deep learning, deep learning, machine learning, Explainable Artificial Intelligence","Computational Approaches to Explainable Artificial Intelligence: Advances in Theory, Applications and Trends. || Comparative Validation of Machine Learning Algorithms for Surgical Workflow and Skill Analysis with the HeiChole Benchmark || Interpretable Deep Models for ICU Outcome Prediction || Deep Learning for Health Informatics. || RSDNet: Learning to Predict Remaining Surgery Duration from Laparoscopic Videos Without Manual Annotations"
7,Human-Robot Collaboration / Robots / Visualization / human-robot collaboration / learning from demonstration,4135,"Human-Robot Collaboration, Robots, Visualization, human-robot collaboration, learning from demonstration",Learning Multimodal Models for Robot Dynamics Online with a Mixture of Gaussian Process Experts. || Physical Interaction As Communication: Learning Robot Objectives Online from Human Corrections || APPLD: Adaptive Planner Parameter Learning from Demonstration || Toward Proactive Human–Robot Collaborative Assembly: A Multimodal Transfer-Learning-Enabled Action Prediction Approach || RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation
16,Monocular Depth Estimation / Novel view synthesis / Neural radiance fields / Human performance capture / Generalizable Neural radiance fields,3963,"Monocular Depth Estimation, Novel view synthesis, Neural radiance fields, Human performance capture, Generalizable Neural radiance fields",Neural Human Performer: Learning Generalizable Radiance Fields for Human Performance Rendering. || MegaScenes: Scene-Level View Synthesis at Scale || Inferring Implicit 3D Representations from Human Figures on Pictorial Maps || Single-Shot Scene Reconstruction. || Learning Personalized High Quality Volumetric Head Avatars from Monocular RGB Videos
3,Machine learning / machine learning / deep learning / Sentinel-1 / long time series,3274,"Machine learning, machine learning, deep learning, Sentinel-1, long time series","Improving Leaf Area Index Retrieval Using Multi-Sensor Images and Stacking Learning in Subtropical Forests of China || Are the Current Expectations for SAR Remote Sensing of Soil Moisture Using Machine Learning Over-Optimistic? || Accounting for Training Data Error in Machine Learning Applied to Earth Observations. || Soil Salinity Mapping Using Machine Learning Algorithms with the Sentinel-2 MSI in Arid Areas, China || Mapping Paddy Rice in Complex Landscapes with Landsat Time Series Data and Superpixel-Based Deep Learning Method"
20,discontinuous Galerkin method / Radial basis function / high-order discontinuous Galerkin / matrix-free algorithms / multigrid,3123,"discontinuous Galerkin method, Radial basis function, high-order discontinuous Galerkin, matrix-free algorithms, multigrid","A Next-Generation Discontinuous Galerkin Fluid Dynamics Solver with Application to High-Resolution Lung Airflow Simulations || Hyper.deal: an Efficient, Matrix-Free Finite-Element Library for High-Dimensional Partial Differential Equations || Fast Matrix-Free Evaluation of Discontinuous Galerkin Finite Element Operators || Lymph: Discontinuous Polytopal Methods for Multi-PHysics Differential Problems || A Scalable Rbf-Fd Method for Atmospheric Flow"
4,Medical Concept Embedding / Electronic Health Records / Personal health records / neural networks / reasoning about belief and knowledge,3043,"Medical Concept Embedding, Electronic Health Records, Personal health records, neural networks, reasoning about belief and knowledge",CarePre: an Intelligent Clinical Decision Assistance System || Behind the Scenes: A Medical Natural Language Processing Project || BenchMD: A Benchmark for Unified Learning on Medical Images and Sensors || Medical Device Surveillance with Electronic Health Records || EHRSHOT: an EHR Benchmark for Few-Shot Evaluation of Foundation Models
0,deep learning / Medical imaging / Medicine/Public Health / general / Biomedicine,2754,"deep learning, Medical imaging, Medicine/Public Health, general, Biomedicine",MONAI: An open-source framework for deep learning in healthcare || Exploring Scalable Medical Image Encoders Beyond Text Supervision || CheXpedition: Investigating Generalization Challenges for Translation of  Chest X-Ray Algorithms to the Clinical Setting || Benchmarking Collaborative Learning Methods Cost-Effectiveness for Prostate Segmentation || Transforming Lung Disease Diagnosis with Transfer Learning Using Chest X-Ray Images on Cloud Computing
