cluster,label,size,top_keywords,top_titles
68,machine learning / Federated Learning / privacy-preserving protocols / secure aggregation / federated learning,3046,"machine learning, Federated Learning, privacy-preserving protocols, secure aggregation, federated learning","Practical Secure Aggregation for Privacy-Preserving Machine Learning || Mastic: Private Weighted Heavy-Hitters and Attribute-Based Metrics. || ShapleyFL: Robust Federated Learning Based on Shapley Value. || SecKNN: FSS-Based Secure Multi-Party KNN Classification under General Distance Functions || Adaptive Verifiable Coded Computing: Towards Fast, Secure and Private Distributed Machine Learning"
23,Machine learning / Security / Federated learning / Closed box / Internet of Things (IoT),23939,"Machine learning, Security, Federated learning, Closed box, Internet of Things (IoT)","Practical Feature Inference Attack in Vertical Federated Learning During Prediction in Artificial Internet of Things || Deep Learning: the Frontier for Distributed Attack Detection in Fog-to-Things Computing. || Federated Learning for 6G-Enabled Secure Communication Systems: a Comprehensive Survey || The Internet of Autonomous Things Applications: A Taxonomy, Technologies, and Future Directions || Explainable and Data-Efficient Deep Learning for Enhanced Attack Detection in IIoT Ecosystem"
45,Convex Optimization / Stochastic Gradient Descent / Large-Scale Optimization / Training / Convergence,3592,"Convex Optimization, Stochastic Gradient Descent, Large-Scale Optimization, Training, Convergence","Local SGD: Unified Theory and New Efficient Methods || Learning to Guide Random Search. || Learning Rates for Stochastic Gradient Descent With Nonconvex Objectives || Stochastic Gradient Descent-Ascent: Unified Theory and New Efficient Methods || Randomized Iterative Methods for Linear Systems: Momentum, Inexactness and Gossip"
7,Exascale computing / collective communication / MPI / Scientific workflow / Simulations,1208,"Exascale computing, collective communication, MPI, Scientific workflow, Simulations",Generalized Collective Algorithms for the Exascale Era || Analyzing Communication Models for Distributed Thread-Collaborative Processors in Terms of Energy and Time || Modeling the Performance of Scientific Workflow Executions on HPC Platforms with Burst Buffers || Energy-Efficient Machine Learning Acceleration: from Technologies to Circuits and Systems || Workflows Community Summit 2022: A Roadmap Revolution
67,graph neural networks / network embedding / benchmark / hyperparameter tuning / attributed networks,26180,"graph neural networks, network embedding, benchmark, hyperparameter tuning, attributed networks",Grain: Improving Data Efficiency of Graph Neural Networks Via Diversified Influence Maximization || Fair Benchmark for Unsupervised Node Representation Learning || Graph Unlearning. || Personalized Cross-Silo Federated Learning on Non-IID Data. || Centrality-based and Similarity-Based Neighborhood Extension in Graph Neural Networks
58,Task analysis / federated learning / Servers / Delays / Resource management,30464,"Task analysis, federated learning, Servers, Delays, Resource management",Joint Computation Offloading and Resource Allocation for Maritime MEC with Energy Harvesting || Joint Partial Offloading and Resource Allocation for Vehicular Federated Learning Tasks || Distributed Computing and Networking Coordination for Task Offloading under Uncertainties || A Novel Federated Learning-Based Smart Power and 3D Trajectory Control for Fairness Optimization in Secure UAV-Assisted MEC Services || Deep Reinforcement Learning Based Cooperative Partial Task Offloading and Resource Allocation for IIoT Applications
39,NOMA / Resource management / Interference / Multiaccess communication / Internet of Things,38137,"NOMA, Resource management, Interference, Multiaccess communication, Internet of Things","Robust Secure Beamforming for Wireless Powered Cognitive Satellite-Terrestrial Networks. || Coded Tandem Spreading Multiple Access for Massive Machine-Type Communications || Multiple Access Techniques for Intelligent and Multi-Functional 6G: Tutorial, Survey, and Outlook || Enabling Fully-Decoupled Radio Access with Elastic Resource Allocation || Secure Beamforming for Cognitive Satellite Terrestrial Networks with Unknown Eavesdroppers."
30,Deep learning / Computer vision / Developments / Applications / Trends,134913,"Deep learning, Computer vision, Developments, Applications, Trends",Deep Learning for Visual Understanding: A Review. || UniFormer: Unified Transformer for Efficient Spatiotemporal Representation Learning || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Improving Deep Convolutional Neural Networks with Unsupervised Feature Learning || Adult Image and Video Recognition by a Deep Multicontext Network and Fine-to-Coarse Strategy
50,Command filtered backstepping / Switches / Topology / Protocols / Multi-agent systems,16830,"Command filtered backstepping, Switches, Topology, Protocols, Multi-agent systems",Coordinated Tracking Control of Multi Agent Systems with Full-State Constraints. || Distributed Adaptive Cooperative Control Via Command Filters for Multi-Agent Systems Including Input Unmodeled Dynamics and Sensor Faults || Completely Distributed Neuro-Learning Consensus with Position Constraints and Partially Unknown Control Directions. || A Decentralized Learning Control Scheme for Constrained Nonlinear Interconnected Systems Based on Dynamic Event-Triggered Mechanism || Cooperative Learning for Switching Networks with Nonidentical Nonlinear Agents
63,Parameterized Complexity / Fixed-Parameter Algorithms / Constraint Satisfaction Problems / Graph Algorithms / Greedy algorithm,11720,"Parameterized Complexity, Fixed-Parameter Algorithms, Constraint Satisfaction Problems, Graph Algorithms, Greedy algorithm",The B-Branching Problem in Digraphs. || Bounding the Mim-Width of Hereditary Graph Classes. || Higher Lower Bounds from the 3SUM Conjecture. || Multicut is FPT. || The Landscape of Distributed Complexities on Trees and Beyond
60,Machine learning / Granular computing / Multi-criterion decision making / Information fusion / Bibliometrics,31784,"Machine learning, Granular computing, Multi-criterion decision making, Information fusion, Bibliometrics",Reimagining Multi-Criterion Decision Making by Data-Driven Methods Based on Machine Learning: A Literature Review. || A Granular Computing-Driven Best–Worst Method for Supporting Group Decision Making || AutoFusion of Feature Pruning for Decision Making in Operations Research || Intelligent Characteristic Objects Method (INCOME): a Data Knowledge-Based Multi-Criteria Decision Analysis || Overview of the Application of Intelligent Optimization Algorithms in Multi-Attribute Group Decision Making
17,Deep learning / Classification / Transfer learning / Medical imaging / Breast cancer,5854,"Deep learning, Classification, Transfer learning, Medical imaging, Breast cancer","LitefusionNet: Boosting the Performance for Medical Image Classification with an Intelligent and Lightweight Feature Fusion Network || Robust Application of New Deep Learning Tools: an Experimental Study in Medical Imaging || Review of Deep Learning: Concepts, CNN Architectures, Challenges, Applications, Future Directions || A Federated Learning Approach for Classifying Chest Diseases from Chest X-ray Images || Deep Learning and Its Applications in Biomedicine"
28,Visual Question Answering / Semi-Supervised Learning / Topic Modeling / Transfer Learning / Representation Learning,11039,"Visual Question Answering, Semi-Supervised Learning, Topic Modeling, Transfer Learning, Representation Learning",Prismer: A Vision-Language Model with an Ensemble of Experts || GLUECons: A Generic Benchmark for Learning under Constraints || OpenFlamingo: an Open-Source Framework for Training Large Autoregressive Vision-Language Models || Unsupervised Vision-and-Language Pre-training Without Parallel Images and Captions || GrowCLIP: Data-aware Automatic Model Growing for Large-scale Contrastive Language-Image Pre-training.
37,User reviews / app store analytics / software issues / bug reports / data-driven requirements,1936,"User reviews, app store analytics, software issues, bug reports, data-driven requirements",The Promise and Challenge of Large Language Models for Knowledge Engineering: Insights from a Hackathon || How Do Crowd-Users Express Their Opinions Against Software Applications in Social Media? A Fine-Grained Classification Approach || Overview of the CLEF-2022 CheckThat! Lab Task 1 on Identifying Relevant Claims in Tweets. || CheckThat! at CLEF 2020: Enabling the Automatic Identification and Verification of Claims in Social Media || Studying Topical Relevance with Evidence-based Crowdsourcing.
42,Model Reduction / Nonlinear Systems / PINNs / deep learning / accelerate,1793,"Model Reduction, Nonlinear Systems, PINNs, deep learning, accelerate",Learning to Accelerate Partial Differential Equations Via Latent Global Evolution || LordNet: an Efficient Neural Network for Learning to Solve Parametric Partial Differential Equations Without Simulated Data || Tackling the Curse of Dimensionality with Physics-Informed Neural Networks || On the Convergence and Generalization of Physics Informed Neural Networks. || Deep Learning-based Surrogate Models for Parametrized PDEs: Handling Geometric Variability Through Graph Neural Networks
55,Multi-view learning / Self-& semi-& meta- Machine learning / Graph neural networks / Representation learning / Semi-supervised classification,11373,"Multi-view learning, Self-& semi-& meta- Machine learning, Graph neural networks, Representation learning, Semi-supervised classification",Learning to Collaborate in Decentralized Learning of Personalized Models || Efficient Multi-View Graph Convolutional Networks Via Local Aggregation and Global Propagation || Adaptive Sharing for Image Classification || Learnable Multi-view Matrix Factorization with Graph Embedding and Flexible Loss || Towards Superior Pruning Performance in Federated Learning with Discriminative Data
31,Privacy-Preserving Computation / Searchable Encryption / Secure Multi-party Computation / Secure Computation / Homomorphic Encryption,4530,"Privacy-Preserving Computation, Searchable Encryption, Secure Multi-party Computation, Secure Computation, Homomorphic Encryption",Expand-and-Randomize: an Algebraic Approach to Secure Computation || Round-Efficient Concurrently Composable Secure Computation Via a Robust Extraction Lemma. || Graph-Induced Multilinear Maps from Lattices. || More Efficient Dishonest Majority Secure Computation over $$\mathbb {z}_{2^k}$$ Via Galois Rings || Round-Optimal Verifiable Oblivious Pseudorandom Functions from Ideal Lattices
12,Transfer Learning / Deep Learning / Deep neural network / Dynamical system / Medical image segmentation,14475,"Transfer Learning, Deep Learning, Deep neural network, Dynamical system, Medical image segmentation","Labelling with Dynamics: A Data-Efficient Learning Paradigm for Medical Image Segmentation || Deep Learning-a First Meta-Survey of Selected Reviews Across Scientific Disciplines, Their Commonalities, Challenges and Research Impact || NFN＋: A Novel Network Followed Network for Retinal Vessel Segmentation. || GaNDLF: A Generally Nuanced Deep Learning Framework for Scalable End-to-End Clinical Workflows in Medical Imaging || Learning from Partially Labeled Data for Multi-Organ and Tumor Segmentation"
